timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908136.048393,5,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,9,325000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.048393,5,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,9,429000000,20,100,0,2,340,0.2222222222222222,4.662004662004662e-09,37.77777777777778,7.925407925407925e-07,0
1729908136.048393,5,10.0.0.15505110.0.0.1507411,10.0.0.15,5051,10.0.0.1,50741,1,3,3,9,420000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.048393,5,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,3,3,29,570000000,20,100,0,341311,15648349478,11769.344827586207,0.0005987912280701755,539598257.862069,27.453244698245616,0
1729908136.048393,5,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,9,404000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.048393,5,10.0.0.153654810.0.0.1806,10.0.0.15,36548,10.0.0.1,80,6,3,3,9,355000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.048393,5,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,3,3,19,494000000,20,100,0,897,1356264,47.21052631578947,1.8157894736842104e-06,71382.31578947368,0.0027454736842105264,0
1729908136.048393,5,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,29,592000000,20,100,0,28,2744,0.9655172413793104,4.72972972972973e-08,94.62068965517241,4.635135135135135e-06,0
1729908136.048393,5,10.0.0.75074110.0.0.1550511,10.0.0.7,50741,10.0.0.15,5051,1,0,0,29,568000000,20,100,0,28,2744,0.9655172413793104,4.929577464788732e-08,94.62068965517241,4.830985915492958e-06,0
1729908136.060068,3,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,29,545000000,20,100,0,167325,11044174,5769.827586206897,0.0003070183486238532,380833.5862068966,0.020264539449541284,0
1729908136.060068,3,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,9,377000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
